text,date,user_location,retweets,likes,clean_text,sentiment,label,month,year
Vaccines are important for public health #VaccineForAll,2021-07-10,Kolkata,84,159,vaccines are important for public health,0.2,positive,2021-07,2021
Proud to be vaccinated! #Vaccinated,2021-05-08,Delhi,24,53,proud to be vaccinated,0.8,positive,2021-05,2021
Vaccine misinformation is dangerous #FactCheck,2022-11-17,Ahmedabad,31,174,vaccine misinformation is dangerous,-0.6,negative,2022-11,2022
Worried about vaccine side effects #VaccineSafety,2023-08-20,Pune,26,129,worried about vaccine side effects,0.0,neutral,2023-08,2023
Vaccine misinformation is dangerous #FactCheck,2023-02-24,Ahmedabad,32,136,vaccine misinformation is dangerous,-0.6,negative,2023-02,2023
Worried about vaccine side effects #VaccineSafety,2023-11-29,Kolkata,41,25,worried about vaccine side effects,0.0,neutral,2023-11,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-07-10,Ahmedabad,12,59,got my vaccine today feeling protected,0.0,neutral,2023-07,2023
Vaccine misinformation is dangerous #FactCheck,2023-06-22,Mumbai,35,172,vaccine misinformation is dangerous,-0.6,negative,2023-06,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2021-11-17,Ahmedabad,15,141,traditional medicine is better than vaccines,0.25,positive,2021-11,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-04-16,Pune,91,97,got my vaccine today feeling protected,0.0,neutral,2022-04,2022
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-12-28,Pune,85,50,not sure about covid vaccine safety,-0.25,negative,2022-12,2022
Children need all recommended vaccines #ChildHealth,2022-07-29,Hyderabad,21,57,children need all recommended vaccines,0.0,neutral,2022-07,2022
Vaccine misinformation is dangerous #FactCheck,2021-11-01,Chennai,41,69,vaccine misinformation is dangerous,-0.6,negative,2021-11,2021
Worried about vaccine side effects #VaccineSafety,2023-09-30,Chennai,96,7,worried about vaccine side effects,0.0,neutral,2023-09,2023
Government should make vaccines mandatory #PublicHealth,2023-10-01,Chennai,4,102,government should make vaccines mandatory,0.0,neutral,2023-10,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-13,Kolkata,95,115,traditional medicine is better than vaccines,0.25,positive,2023-02,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-04-03,Ahmedabad,51,143,got my vaccine today feeling protected,0.0,neutral,2023-04,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-09-28,Delhi,29,146,not sure about covid vaccine safety,-0.25,negative,2022-09,2022
Vaccines are important for public health #VaccineForAll,2021-04-30,Pune,18,91,vaccines are important for public health,0.2,positive,2021-04,2021
Vaccine misinformation is dangerous #FactCheck,2023-01-11,Delhi,61,22,vaccine misinformation is dangerous,-0.6,negative,2023-01,2023
Children need all recommended vaccines #ChildHealth,2023-10-10,Mumbai,57,121,children need all recommended vaccines,0.0,neutral,2023-10,2023
Vaccines are important for public health #VaccineForAll,2023-03-13,Ahmedabad,47,88,vaccines are important for public health,0.2,positive,2023-03,2023
Vaccines are a conspiracy #AntiVax,2023-06-16,Ahmedabad,60,191,vaccines are a conspiracy,0.0,neutral,2023-06,2023
Government should make vaccines mandatory #PublicHealth,2023-03-01,Kolkata,66,75,government should make vaccines mandatory,0.0,neutral,2023-03,2023
Vaccine misinformation is dangerous #FactCheck,2023-09-24,Hyderabad,56,28,vaccine misinformation is dangerous,-0.6,negative,2023-09,2023
Government should make vaccines mandatory #PublicHealth,2023-12-07,Mumbai,93,189,government should make vaccines mandatory,0.0,neutral,2023-12,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2022-03-29,Chennai,15,175,traditional medicine is better than vaccines,0.25,positive,2022-03,2022
Government should make vaccines mandatory #PublicHealth,2022-07-05,Chennai,32,100,government should make vaccines mandatory,0.0,neutral,2022-07,2022
Proud to be vaccinated! #Vaccinated,2022-06-06,Hyderabad,68,99,proud to be vaccinated,0.8,positive,2022-06,2022
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-02-01,Bangalore,57,95,not sure about covid vaccine safety,-0.25,negative,2023-02,2023
Vaccines are important for public health #VaccineForAll,2023-10-13,Kolkata,3,15,vaccines are important for public health,0.2,positive,2023-10,2023
Vaccines are a conspiracy #AntiVax,2021-12-02,Pune,1,127,vaccines are a conspiracy,0.0,neutral,2021-12,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2022-11-21,Bangalore,32,160,traditional medicine is better than vaccines,0.25,positive,2022-11,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-12-03,Chennai,28,140,got my vaccine today feeling protected,0.0,neutral,2023-12,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-05-14,Delhi,34,80,not sure about covid vaccine safety,-0.25,negative,2022-05,2022
Vaccine misinformation is dangerous #FactCheck,2023-02-15,Kolkata,25,89,vaccine misinformation is dangerous,-0.6,negative,2023-02,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-04-25,Mumbai,6,195,not sure about covid vaccine safety,-0.25,negative,2021-04,2021
Vaccine misinformation is dangerous #FactCheck,2022-02-17,Ahmedabad,35,20,vaccine misinformation is dangerous,-0.6,negative,2022-02,2022
Children need all recommended vaccines #ChildHealth,2022-11-07,Delhi,72,151,children need all recommended vaccines,0.0,neutral,2022-11,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-09-05,Mumbai,95,151,got my vaccine today feeling protected,0.0,neutral,2023-09,2023
Proud to be vaccinated! #Vaccinated,2021-02-06,Chennai,54,12,proud to be vaccinated,0.8,positive,2021-02,2021
Proud to be vaccinated! #Vaccinated,2021-08-05,Bangalore,29,16,proud to be vaccinated,0.8,positive,2021-08,2021
Vaccines are important for public health #VaccineForAll,2021-03-03,Chennai,88,85,vaccines are important for public health,0.2,positive,2021-03,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-06-26,Chennai,11,188,got my vaccine today feeling protected,0.0,neutral,2021-06,2021
Children need all recommended vaccines #ChildHealth,2021-03-17,Mumbai,70,27,children need all recommended vaccines,0.0,neutral,2021-03,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-05-01,Delhi,15,116,traditional medicine is better than vaccines,0.25,positive,2023-05,2023
Government should make vaccines mandatory #PublicHealth,2022-01-31,Mumbai,51,122,government should make vaccines mandatory,0.0,neutral,2022-01,2022
Government should make vaccines mandatory #PublicHealth,2022-07-23,Pune,52,41,government should make vaccines mandatory,0.0,neutral,2022-07,2022
Vaccine misinformation is dangerous #FactCheck,2023-07-24,Hyderabad,94,121,vaccine misinformation is dangerous,-0.6,negative,2023-07,2023
Government should make vaccines mandatory #PublicHealth,2023-01-03,Bangalore,74,145,government should make vaccines mandatory,0.0,neutral,2023-01,2023
Children need all recommended vaccines #ChildHealth,2023-08-12,Chennai,16,6,children need all recommended vaccines,0.0,neutral,2023-08,2023
Vaccines are a conspiracy #AntiVax,2021-06-19,Mumbai,49,26,vaccines are a conspiracy,0.0,neutral,2021-06,2021
Vaccine misinformation is dangerous #FactCheck,2021-01-29,Kolkata,37,82,vaccine misinformation is dangerous,-0.6,negative,2021-01,2021
Vaccines are a conspiracy #AntiVax,2022-05-15,Mumbai,70,44,vaccines are a conspiracy,0.0,neutral,2022-05,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2023-12-30,Chennai,30,18,traditional medicine is better than vaccines,0.25,positive,2023-12,2023
Worried about vaccine side effects #VaccineSafety,2021-06-16,Bangalore,73,89,worried about vaccine side effects,0.0,neutral,2021-06,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-02-08,Hyderabad,66,172,got my vaccine today feeling protected,0.0,neutral,2021-02,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-12-18,Chennai,91,199,not sure about covid vaccine safety,-0.25,negative,2023-12,2023
Children need all recommended vaccines #ChildHealth,2023-10-22,Bangalore,76,91,children need all recommended vaccines,0.0,neutral,2023-10,2023
Children need all recommended vaccines #ChildHealth,2023-04-04,Mumbai,37,116,children need all recommended vaccines,0.0,neutral,2023-04,2023
Worried about vaccine side effects #VaccineSafety,2021-02-27,Chennai,44,159,worried about vaccine side effects,0.0,neutral,2021-02,2021
Government should make vaccines mandatory #PublicHealth,2021-03-21,Hyderabad,84,163,government should make vaccines mandatory,0.0,neutral,2021-03,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-02-16,Mumbai,48,13,got my vaccine today feeling protected,0.0,neutral,2021-02,2021
Vaccines are important for public health #VaccineForAll,2022-10-18,Pune,56,11,vaccines are important for public health,0.2,positive,2022-10,2022
Vaccine misinformation is dangerous #FactCheck,2023-01-06,Ahmedabad,71,101,vaccine misinformation is dangerous,-0.6,negative,2023-01,2023
Vaccines are a conspiracy #AntiVax,2022-10-30,Kolkata,7,121,vaccines are a conspiracy,0.0,neutral,2022-10,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2021-03-31,Ahmedabad,57,59,traditional medicine is better than vaccines,0.25,positive,2021-03,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-06-24,Chennai,40,191,not sure about covid vaccine safety,-0.25,negative,2022-06,2022
Worried about vaccine side effects #VaccineSafety,2023-08-17,Mumbai,72,160,worried about vaccine side effects,0.0,neutral,2023-08,2023
Government should make vaccines mandatory #PublicHealth,2022-04-06,Chennai,28,140,government should make vaccines mandatory,0.0,neutral,2022-04,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-01-25,Delhi,68,46,got my vaccine today feeling protected,0.0,neutral,2022-01,2022
Children need all recommended vaccines #ChildHealth,2022-03-26,Delhi,55,29,children need all recommended vaccines,0.0,neutral,2022-03,2022
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-05-27,Kolkata,32,117,not sure about covid vaccine safety,-0.25,negative,2023-05,2023
Vaccines are important for public health #VaccineForAll,2021-05-26,Ahmedabad,48,10,vaccines are important for public health,0.2,positive,2021-05,2021
Government should make vaccines mandatory #PublicHealth,2021-03-04,Mumbai,85,58,government should make vaccines mandatory,0.0,neutral,2021-03,2021
Vaccines are important for public health #VaccineForAll,2021-04-15,Bangalore,0,148,vaccines are important for public health,0.2,positive,2021-04,2021
Proud to be vaccinated! #Vaccinated,2022-06-02,Chennai,80,196,proud to be vaccinated,0.8,positive,2022-06,2022
Government should make vaccines mandatory #PublicHealth,2023-02-10,Kolkata,22,52,government should make vaccines mandatory,0.0,neutral,2023-02,2023
Government should make vaccines mandatory #PublicHealth,2022-12-15,Delhi,82,144,government should make vaccines mandatory,0.0,neutral,2022-12,2022
Government should make vaccines mandatory #PublicHealth,2022-04-02,Hyderabad,0,50,government should make vaccines mandatory,0.0,neutral,2022-04,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2022-03-25,Mumbai,31,33,traditional medicine is better than vaccines,0.25,positive,2022-03,2022
Vaccines are a conspiracy #AntiVax,2021-06-03,Delhi,33,181,vaccines are a conspiracy,0.0,neutral,2021-06,2021
Worried about vaccine side effects #VaccineSafety,2023-02-10,Bangalore,49,11,worried about vaccine side effects,0.0,neutral,2023-02,2023
Vaccines are important for public health #VaccineForAll,2023-12-14,Chennai,4,56,vaccines are important for public health,0.2,positive,2023-12,2023
Vaccines are important for public health #VaccineForAll,2022-09-16,Pune,46,150,vaccines are important for public health,0.2,positive,2022-09,2022
Government should make vaccines mandatory #PublicHealth,2023-05-03,Hyderabad,65,74,government should make vaccines mandatory,0.0,neutral,2023-05,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-04-13,Hyderabad,63,37,got my vaccine today feeling protected,0.0,neutral,2021-04,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-04-08,Delhi,29,78,not sure about covid vaccine safety,-0.25,negative,2021-04,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-03-23,Delhi,51,165,got my vaccine today feeling protected,0.0,neutral,2022-03,2022
Vaccines are important for public health #VaccineForAll,2023-09-11,Pune,29,105,vaccines are important for public health,0.2,positive,2023-09,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-03-22,Kolkata,28,131,got my vaccine today feeling protected,0.0,neutral,2021-03,2021
Vaccine misinformation is dangerous #FactCheck,2021-07-03,Mumbai,73,16,vaccine misinformation is dangerous,-0.6,negative,2021-07,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-11,Kolkata,33,5,traditional medicine is better than vaccines,0.25,positive,2023-09,2023
Government should make vaccines mandatory #PublicHealth,2021-07-24,Hyderabad,42,114,government should make vaccines mandatory,0.0,neutral,2021-07,2021
Children need all recommended vaccines #ChildHealth,2023-04-28,Pune,74,117,children need all recommended vaccines,0.0,neutral,2023-04,2023
Vaccines are a conspiracy #AntiVax,2023-06-19,Ahmedabad,3,183,vaccines are a conspiracy,0.0,neutral,2023-06,2023
Children need all recommended vaccines #ChildHealth,2022-10-29,Kolkata,31,177,children need all recommended vaccines,0.0,neutral,2022-10,2022
Vaccine misinformation is dangerous #FactCheck,2023-12-11,Bangalore,20,4,vaccine misinformation is dangerous,-0.6,negative,2023-12,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-08-27,Delhi,60,21,not sure about covid vaccine safety,-0.25,negative,2022-08,2022
Government should make vaccines mandatory #PublicHealth,2023-04-18,Mumbai,4,11,government should make vaccines mandatory,0.0,neutral,2023-04,2023
Vaccine misinformation is dangerous #FactCheck,2023-12-06,Delhi,48,77,vaccine misinformation is dangerous,-0.6,negative,2023-12,2023
Vaccine misinformation is dangerous #FactCheck,2023-03-05,Mumbai,46,120,vaccine misinformation is dangerous,-0.6,negative,2023-03,2023
Worried about vaccine side effects #VaccineSafety,2021-08-27,Ahmedabad,93,106,worried about vaccine side effects,0.0,neutral,2021-08,2021
Vaccines are important for public health #VaccineForAll,2023-11-16,Chennai,0,7,vaccines are important for public health,0.2,positive,2023-11,2023
Vaccines are important for public health #VaccineForAll,2022-12-20,Pune,55,13,vaccines are important for public health,0.2,positive,2022-12,2022
Vaccine misinformation is dangerous #FactCheck,2021-01-28,Pune,77,129,vaccine misinformation is dangerous,-0.6,negative,2021-01,2021
Vaccine misinformation is dangerous #FactCheck,2022-06-10,Bangalore,55,114,vaccine misinformation is dangerous,-0.6,negative,2022-06,2022
Proud to be vaccinated! #Vaccinated,2023-10-24,Pune,22,106,proud to be vaccinated,0.8,positive,2023-10,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-03-17,Bangalore,14,191,not sure about covid vaccine safety,-0.25,negative,2023-03,2023
Children need all recommended vaccines #ChildHealth,2022-04-30,Chennai,73,38,children need all recommended vaccines,0.0,neutral,2022-04,2022
Children need all recommended vaccines #ChildHealth,2021-03-27,Delhi,43,24,children need all recommended vaccines,0.0,neutral,2021-03,2021
Vaccines are important for public health #VaccineForAll,2021-01-25,Chennai,9,66,vaccines are important for public health,0.2,positive,2021-01,2021
Children need all recommended vaccines #ChildHealth,2021-04-19,Delhi,99,110,children need all recommended vaccines,0.0,neutral,2021-04,2021
Worried about vaccine side effects #VaccineSafety,2021-02-03,Pune,7,167,worried about vaccine side effects,0.0,neutral,2021-02,2021
Vaccines are important for public health #VaccineForAll,2023-01-18,Bangalore,41,168,vaccines are important for public health,0.2,positive,2023-01,2023
Government should make vaccines mandatory #PublicHealth,2022-11-23,Delhi,63,186,government should make vaccines mandatory,0.0,neutral,2022-11,2022
Vaccines are a conspiracy #AntiVax,2021-11-11,Kolkata,69,120,vaccines are a conspiracy,0.0,neutral,2021-11,2021
Vaccines are important for public health #VaccineForAll,2022-10-24,Kolkata,69,69,vaccines are important for public health,0.2,positive,2022-10,2022
Proud to be vaccinated! #Vaccinated,2022-09-16,Chennai,93,74,proud to be vaccinated,0.8,positive,2022-09,2022
Vaccines are a conspiracy #AntiVax,2023-04-03,Mumbai,2,30,vaccines are a conspiracy,0.0,neutral,2023-04,2023
Vaccines are a conspiracy #AntiVax,2021-08-17,Chennai,23,5,vaccines are a conspiracy,0.0,neutral,2021-08,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-04-13,Chennai,74,3,not sure about covid vaccine safety,-0.25,negative,2022-04,2022
Worried about vaccine side effects #VaccineSafety,2021-04-28,Mumbai,93,178,worried about vaccine side effects,0.0,neutral,2021-04,2021
Children need all recommended vaccines #ChildHealth,2021-07-13,Pune,74,135,children need all recommended vaccines,0.0,neutral,2021-07,2021
Vaccine misinformation is dangerous #FactCheck,2021-06-22,Chennai,4,69,vaccine misinformation is dangerous,-0.6,negative,2021-06,2021
Vaccine misinformation is dangerous #FactCheck,2023-04-16,Bangalore,83,19,vaccine misinformation is dangerous,-0.6,negative,2023-04,2023
Vaccines are important for public health #VaccineForAll,2021-05-20,Pune,0,89,vaccines are important for public health,0.2,positive,2021-05,2021
Worried about vaccine side effects #VaccineSafety,2021-05-19,Pune,99,76,worried about vaccine side effects,0.0,neutral,2021-05,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-06-21,Delhi,9,4,got my vaccine today feeling protected,0.0,neutral,2023-06,2023
Proud to be vaccinated! #Vaccinated,2021-06-21,Delhi,12,167,proud to be vaccinated,0.8,positive,2021-06,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-11-17,Pune,72,16,not sure about covid vaccine safety,-0.25,negative,2021-11,2021
Children need all recommended vaccines #ChildHealth,2023-06-30,Ahmedabad,37,162,children need all recommended vaccines,0.0,neutral,2023-06,2023
Vaccines are important for public health #VaccineForAll,2021-11-14,Chennai,49,77,vaccines are important for public health,0.2,positive,2021-11,2021
Government should make vaccines mandatory #PublicHealth,2022-01-11,Bangalore,8,161,government should make vaccines mandatory,0.0,neutral,2022-01,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-05-28,Ahmedabad,63,149,got my vaccine today feeling protected,0.0,neutral,2022-05,2022
Vaccines are a conspiracy #AntiVax,2023-05-23,Kolkata,13,59,vaccines are a conspiracy,0.0,neutral,2023-05,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-12-26,Kolkata,4,82,got my vaccine today feeling protected,0.0,neutral,2022-12,2022
Vaccine misinformation is dangerous #FactCheck,2022-07-28,Chennai,88,41,vaccine misinformation is dangerous,-0.6,negative,2022-07,2022
Children need all recommended vaccines #ChildHealth,2022-02-06,Ahmedabad,71,38,children need all recommended vaccines,0.0,neutral,2022-02,2022
Vaccines are a conspiracy #AntiVax,2023-03-11,Bangalore,37,96,vaccines are a conspiracy,0.0,neutral,2023-03,2023
Proud to be vaccinated! #Vaccinated,2022-07-29,Pune,96,152,proud to be vaccinated,0.8,positive,2022-07,2022
