text,date,user_location,retweets,likes
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-04-02,Bangalore,79,188
Children need all recommended vaccines #ChildHealth,2021-06-10,Chennai,32,141
Government should make vaccines mandatory #PublicHealth,2023-03-27,Chennai,7,134
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-02-05,Ahmedabad,32,175
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-04-15,Pune,21,157
Worried about vaccine side effects #VaccineSafety,2021-08-18,Kolkata,50,181
Vaccines are a conspiracy #AntiVax,2021-01-27,Delhi,20,29
Vaccines are important for public health #VaccineForAll,2021-10-11,Pune,63,196
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-07-01,Ahmedabad,48,16
Government should make vaccines mandatory #PublicHealth,2022-06-02,Bangalore,36,23
Vaccines are important for public health #VaccineForAll,2021-10-29,Kolkata,94,98
Vaccines are important for public health #VaccineForAll,2021-07-10,Kolkata,84,159
Proud to be vaccinated! #Vaccinated,2021-05-08,Delhi,24,53
Vaccine misinformation is dangerous #FactCheck,2022-11-17,Ahmedabad,31,174
Worried about vaccine side effects #VaccineSafety,2023-08-20,Pune,26,129
Vaccine misinformation is dangerous #FactCheck,2023-02-24,Ahmedabad,32,136
Worried about vaccine side effects #VaccineSafety,2023-11-29,Kolkata,41,25
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-07-10,Ahmedabad,12,59
Vaccine misinformation is dangerous #FactCheck,2023-06-22,Mumbai,35,172
Traditional medicine is better than vaccines #AlternativeMedicine,2021-11-17,Ahmedabad,15,141
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-04-16,Pune,91,97
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-12-28,Pune,85,50
Children need all recommended vaccines #ChildHealth,2022-07-29,Hyderabad,21,57
Vaccine misinformation is dangerous #FactCheck,2021-11-01,Chennai,41,69
Worried about vaccine side effects #VaccineSafety,2023-09-30,Chennai,96,7
Government should make vaccines mandatory #PublicHealth,2023-10-01,Chennai,4,102
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-13,Kolkata,95,115
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-04-03,Ahmedabad,51,143
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-09-28,Delhi,29,146
Vaccines are important for public health #VaccineForAll,2021-04-30,Pune,18,91
Vaccine misinformation is dangerous #FactCheck,2023-01-11,Delhi,61,22
Children need all recommended vaccines #ChildHealth,2023-10-10,Mumbai,57,121
Vaccines are important for public health #VaccineForAll,2023-03-13,Ahmedabad,47,88
Vaccines are a conspiracy #AntiVax,2023-06-16,Ahmedabad,60,191
Government should make vaccines mandatory #PublicHealth,2023-03-01,Kolkata,66,75
Vaccine misinformation is dangerous #FactCheck,2023-09-24,Hyderabad,56,28
Government should make vaccines mandatory #PublicHealth,2023-12-07,Mumbai,93,189
Traditional medicine is better than vaccines #AlternativeMedicine,2022-03-29,Chennai,15,175
Government should make vaccines mandatory #PublicHealth,2022-07-05,Chennai,32,100
Proud to be vaccinated! #Vaccinated,2022-06-06,Hyderabad,68,99
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-02-01,Bangalore,57,95
Vaccines are important for public health #VaccineForAll,2023-10-13,Kolkata,3,15
Vaccines are a conspiracy #AntiVax,2021-12-02,Pune,1,127
Traditional medicine is better than vaccines #AlternativeMedicine,2022-11-21,Bangalore,32,160
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-12-03,Chennai,28,140
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-05-14,Delhi,34,80
Vaccine misinformation is dangerous #FactCheck,2023-02-15,Kolkata,25,89
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-04-25,Mumbai,6,195
Vaccine misinformation is dangerous #FactCheck,2022-02-17,Ahmedabad,35,20
Children need all recommended vaccines #ChildHealth,2022-11-07,Delhi,72,151
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-09-05,Mumbai,95,151
Proud to be vaccinated! #Vaccinated,2021-02-06,Chennai,54,12
Proud to be vaccinated! #Vaccinated,2021-08-05,Bangalore,29,16
Vaccines are important for public health #VaccineForAll,2021-03-03,Chennai,88,85
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-06-26,Chennai,11,188
Children need all recommended vaccines #ChildHealth,2021-03-17,Mumbai,70,27
Traditional medicine is better than vaccines #AlternativeMedicine,2023-05-01,Delhi,15,116
Government should make vaccines mandatory #PublicHealth,2022-01-31,Mumbai,51,122
Government should make vaccines mandatory #PublicHealth,2022-07-23,Pune,52,41
Vaccine misinformation is dangerous #FactCheck,2023-07-24,Hyderabad,94,121
Government should make vaccines mandatory #PublicHealth,2023-01-03,Bangalore,74,145
Children need all recommended vaccines #ChildHealth,2023-08-12,Chennai,16,6
Vaccines are a conspiracy #AntiVax,2021-06-19,Mumbai,49,26
Vaccine misinformation is dangerous #FactCheck,2021-01-29,Kolkata,37,82
Vaccines are a conspiracy #AntiVax,2022-05-15,Mumbai,70,44
Traditional medicine is better than vaccines #AlternativeMedicine,2023-12-30,Chennai,30,18
Worried about vaccine side effects #VaccineSafety,2021-06-16,Bangalore,73,89
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-02-08,Hyderabad,66,172
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-12-18,Chennai,91,199
Children need all recommended vaccines #ChildHealth,2023-10-22,Bangalore,76,91
Children need all recommended vaccines #ChildHealth,2023-04-04,Mumbai,37,116
Worried about vaccine side effects #VaccineSafety,2021-02-27,Chennai,44,159
Government should make vaccines mandatory #PublicHealth,2021-03-21,Hyderabad,84,163
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-02-16,Mumbai,48,13
Vaccines are important for public health #VaccineForAll,2022-10-18,Pune,56,11
Vaccine misinformation is dangerous #FactCheck,2023-01-06,Ahmedabad,71,101
Vaccines are a conspiracy #AntiVax,2022-10-30,Kolkata,7,121
Traditional medicine is better than vaccines #AlternativeMedicine,2021-03-31,Ahmedabad,57,59
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-06-24,Chennai,40,191
Worried about vaccine side effects #VaccineSafety,2023-08-17,Mumbai,72,160
Government should make vaccines mandatory #PublicHealth,2022-04-06,Chennai,28,140
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-01-25,Delhi,68,46
Children need all recommended vaccines #ChildHealth,2022-03-26,Delhi,55,29
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-05-27,Kolkata,32,117
Vaccines are important for public health #VaccineForAll,2021-05-26,Ahmedabad,48,10
Government should make vaccines mandatory #PublicHealth,2021-03-04,Mumbai,85,58
Vaccines are important for public health #VaccineForAll,2021-04-15,Bangalore,0,148
Proud to be vaccinated! #Vaccinated,2022-06-02,Chennai,80,196
Government should make vaccines mandatory #PublicHealth,2023-02-10,Kolkata,22,52
Government should make vaccines mandatory #PublicHealth,2022-12-15,Delhi,82,144
Government should make vaccines mandatory #PublicHealth,2022-04-02,Hyderabad,0,50
Traditional medicine is better than vaccines #AlternativeMedicine,2022-03-25,Mumbai,31,33
Vaccines are a conspiracy #AntiVax,2021-06-03,Delhi,33,181
Worried about vaccine side effects #VaccineSafety,2023-02-10,Bangalore,49,11
Vaccines are important for public health #VaccineForAll,2023-12-14,Chennai,4,56
Vaccines are important for public health #VaccineForAll,2022-09-16,Pune,46,150
Government should make vaccines mandatory #PublicHealth,2023-05-03,Hyderabad,65,74
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-04-13,Hyderabad,63,37
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-04-08,Delhi,29,78
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-03-23,Delhi,51,165
Vaccines are important for public health #VaccineForAll,2023-09-11,Pune,29,105
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-03-22,Kolkata,28,131
Vaccine misinformation is dangerous #FactCheck,2021-07-03,Mumbai,73,16
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-11,Kolkata,33,5
Government should make vaccines mandatory #PublicHealth,2021-07-24,Hyderabad,42,114
Children need all recommended vaccines #ChildHealth,2023-04-28,Pune,74,117
Vaccines are a conspiracy #AntiVax,2023-06-19,Ahmedabad,3,183
Children need all recommended vaccines #ChildHealth,2022-10-29,Kolkata,31,177
Vaccine misinformation is dangerous #FactCheck,2023-12-11,Bangalore,20,4
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-08-27,Delhi,60,21
Government should make vaccines mandatory #PublicHealth,2023-04-18,Mumbai,4,11
Vaccine misinformation is dangerous #FactCheck,2023-12-06,Delhi,48,77
Vaccine misinformation is dangerous #FactCheck,2023-03-05,Mumbai,46,120
Worried about vaccine side effects #VaccineSafety,2021-08-27,Ahmedabad,93,106
Vaccines are important for public health #VaccineForAll,2023-11-16,Chennai,0,7
Vaccines are important for public health #VaccineForAll,2022-12-20,Pune,55,13
Vaccine misinformation is dangerous #FactCheck,2021-01-28,Pune,77,129
Vaccine misinformation is dangerous #FactCheck,2022-06-10,Bangalore,55,114
Proud to be vaccinated! #Vaccinated,2023-10-24,Pune,22,106
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-03-17,Bangalore,14,191
Children need all recommended vaccines #ChildHealth,2022-04-30,Chennai,73,38
Children need all recommended vaccines #ChildHealth,2021-03-27,Delhi,43,24
Vaccines are important for public health #VaccineForAll,2021-01-25,Chennai,9,66
Children need all recommended vaccines #ChildHealth,2021-04-19,Delhi,99,110
Worried about vaccine side effects #VaccineSafety,2021-02-03,Pune,7,167
Vaccines are important for public health #VaccineForAll,2023-01-18,Bangalore,41,168
Government should make vaccines mandatory #PublicHealth,2022-11-23,Delhi,63,186
Vaccines are a conspiracy #AntiVax,2021-11-11,Kolkata,69,120
Vaccines are important for public health #VaccineForAll,2022-10-24,Kolkata,69,69
Proud to be vaccinated! #Vaccinated,2022-09-16,Chennai,93,74
Vaccines are a conspiracy #AntiVax,2023-04-03,Mumbai,2,30
Vaccines are a conspiracy #AntiVax,2021-08-17,Chennai,23,5
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-04-13,Chennai,74,3
Worried about vaccine side effects #VaccineSafety,2021-04-28,Mumbai,93,178
Children need all recommended vaccines #ChildHealth,2021-07-13,Pune,74,135
Vaccine misinformation is dangerous #FactCheck,2021-06-22,Chennai,4,69
Vaccine misinformation is dangerous #FactCheck,2023-04-16,Bangalore,83,19
Vaccines are important for public health #VaccineForAll,2021-05-20,Pune,0,89
Worried about vaccine side effects #VaccineSafety,2021-05-19,Pune,99,76
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-06-21,Delhi,9,4
Proud to be vaccinated! #Vaccinated,2021-06-21,Delhi,12,167
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-11-17,Pune,72,16
Children need all recommended vaccines #ChildHealth,2023-06-30,Ahmedabad,37,162
Vaccines are important for public health #VaccineForAll,2021-11-14,Chennai,49,77
Government should make vaccines mandatory #PublicHealth,2022-01-11,Bangalore,8,161
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-05-28,Ahmedabad,63,149
Vaccines are a conspiracy #AntiVax,2023-05-23,Kolkata,13,59
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-12-26,Kolkata,4,82
Vaccine misinformation is dangerous #FactCheck,2022-07-28,Chennai,88,41
Children need all recommended vaccines #ChildHealth,2022-02-06,Ahmedabad,71,38
Vaccines are a conspiracy #AntiVax,2023-03-11,Bangalore,37,96
Proud to be vaccinated! #Vaccinated,2022-07-29,Pune,96,152
Vaccines are important for public health #VaccineForAll,2023-10-04,Pune,65,52
Vaccines are a conspiracy #AntiVax,2021-04-14,Bangalore,38,178
Worried about vaccine side effects #VaccineSafety,2022-08-02,Pune,50,199
Vaccine misinformation is dangerous #FactCheck,2023-11-05,Pune,28,32
Traditional medicine is better than vaccines #AlternativeMedicine,2022-04-23,Pune,26,163
Worried about vaccine side effects #VaccineSafety,2023-10-18,Kolkata,26,182
Vaccines are important for public health #VaccineForAll,2021-07-15,Hyderabad,65,9
Government should make vaccines mandatory #PublicHealth,2023-05-15,Hyderabad,37,140
Traditional medicine is better than vaccines #AlternativeMedicine,2021-08-04,Chennai,55,14
Vaccines are a conspiracy #AntiVax,2021-02-16,Chennai,75,172
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-04-05,Bangalore,35,35
Vaccine misinformation is dangerous #FactCheck,2021-03-10,Chennai,10,73
Vaccines are a conspiracy #AntiVax,2022-07-04,Hyderabad,71,22
Vaccine misinformation is dangerous #FactCheck,2021-10-29,Bangalore,11,140
Vaccines are a conspiracy #AntiVax,2023-08-16,Delhi,88,110
Vaccines are a conspiracy #AntiVax,2023-04-08,Bangalore,75,99
Traditional medicine is better than vaccines #AlternativeMedicine,2023-06-07,Kolkata,71,126
Vaccine misinformation is dangerous #FactCheck,2023-10-06,Chennai,30,121
Children need all recommended vaccines #ChildHealth,2023-10-11,Bangalore,28,39
Children need all recommended vaccines #ChildHealth,2023-02-18,Pune,0,45
Government should make vaccines mandatory #PublicHealth,2022-02-24,Hyderabad,86,56
Vaccines are important for public health #VaccineForAll,2022-07-21,Bangalore,39,142
Government should make vaccines mandatory #PublicHealth,2023-08-27,Kolkata,8,179
Children need all recommended vaccines #ChildHealth,2021-04-27,Delhi,40,34
Traditional medicine is better than vaccines #AlternativeMedicine,2022-06-21,Delhi,74,37
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-04-20,Delhi,90,16
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-10-26,Mumbai,70,179
Worried about vaccine side effects #VaccineSafety,2021-06-26,Kolkata,62,149
Vaccine misinformation is dangerous #FactCheck,2021-06-05,Delhi,84,48
Proud to be vaccinated! #Vaccinated,2023-04-29,Chennai,48,147
Worried about vaccine side effects #VaccineSafety,2021-12-08,Chennai,62,188
Vaccines are a conspiracy #AntiVax,2022-07-15,Pune,0,140
Proud to be vaccinated! #Vaccinated,2022-03-11,Bangalore,55,61
Vaccines are important for public health #VaccineForAll,2022-03-05,Kolkata,29,143
Vaccines are a conspiracy #AntiVax,2023-11-09,Delhi,0,77
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-10-07,Delhi,91,112
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-05,Pune,3,128
Vaccines are a conspiracy #AntiVax,2023-07-14,Pune,2,31
Vaccine misinformation is dangerous #FactCheck,2021-06-11,Chennai,96,86
Proud to be vaccinated! #Vaccinated,2023-10-29,Mumbai,56,66
Vaccines are a conspiracy #AntiVax,2022-03-19,Pune,71,53
Children need all recommended vaccines #ChildHealth,2022-08-02,Bangalore,96,91
Vaccines are a conspiracy #AntiVax,2021-04-06,Ahmedabad,77,31
Vaccines are a conspiracy #AntiVax,2023-03-25,Bangalore,15,195
Traditional medicine is better than vaccines #AlternativeMedicine,2021-06-14,Hyderabad,84,141
Proud to be vaccinated! #Vaccinated,2023-08-02,Delhi,6,73
Proud to be vaccinated! #Vaccinated,2021-05-31,Kolkata,18,111
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-12-01,Delhi,1,128
Government should make vaccines mandatory #PublicHealth,2023-01-16,Pune,1,194
Proud to be vaccinated! #Vaccinated,2022-01-31,Chennai,4,36
Worried about vaccine side effects #VaccineSafety,2023-06-24,Delhi,52,171
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-05-04,Chennai,23,80
Vaccine misinformation is dangerous #FactCheck,2022-09-24,Bangalore,86,127
Vaccines are important for public health #VaccineForAll,2022-06-10,Mumbai,39,193
Children need all recommended vaccines #ChildHealth,2022-05-09,Chennai,25,185
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-03-16,Bangalore,69,145
Government should make vaccines mandatory #PublicHealth,2021-02-11,Chennai,40,165
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-11-07,Kolkata,24,121
Proud to be vaccinated! #Vaccinated,2021-12-08,Kolkata,26,56
Worried about vaccine side effects #VaccineSafety,2023-01-01,Ahmedabad,97,11
Children need all recommended vaccines #ChildHealth,2023-04-01,Pune,9,172
Vaccines are important for public health #VaccineForAll,2023-07-11,Kolkata,91,189
Vaccine misinformation is dangerous #FactCheck,2021-05-10,Chennai,53,106
Vaccines are important for public health #VaccineForAll,2023-03-30,Kolkata,35,114
Vaccine misinformation is dangerous #FactCheck,2021-01-29,Kolkata,10,39
Traditional medicine is better than vaccines #AlternativeMedicine,2021-07-06,Pune,98,53
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-02-24,Pune,23,149
Government should make vaccines mandatory #PublicHealth,2023-01-21,Chennai,82,80
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-07-20,Delhi,65,72
Children need all recommended vaccines #ChildHealth,2021-10-23,Mumbai,0,60
Vaccines are a conspiracy #AntiVax,2021-02-11,Mumbai,38,34
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-04-18,Chennai,50,101
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-06-08,Bangalore,43,186
Vaccines are important for public health #VaccineForAll,2023-08-15,Mumbai,73,56
Proud to be vaccinated! #Vaccinated,2021-01-12,Hyderabad,79,82
Vaccines are a conspiracy #AntiVax,2022-10-23,Mumbai,86,117
Worried about vaccine side effects #VaccineSafety,2022-04-11,Mumbai,11,142
Vaccine misinformation is dangerous #FactCheck,2022-05-04,Kolkata,25,46
Vaccine misinformation is dangerous #FactCheck,2023-11-06,Pune,16,150
Vaccine misinformation is dangerous #FactCheck,2023-09-08,Hyderabad,6,13
Government should make vaccines mandatory #PublicHealth,2021-05-17,Bangalore,47,71
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-04-07,Pune,92,81
Traditional medicine is better than vaccines #AlternativeMedicine,2023-07-24,Bangalore,17,186
Vaccine misinformation is dangerous #FactCheck,2022-09-07,Mumbai,13,158
Vaccines are a conspiracy #AntiVax,2023-09-22,Chennai,59,44
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-05-11,Kolkata,42,167
Vaccine misinformation is dangerous #FactCheck,2021-07-02,Pune,38,14
Vaccines are a conspiracy #AntiVax,2022-05-12,Chennai,92,152
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-01-16,Kolkata,41,107
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-11-07,Bangalore,41,33
Proud to be vaccinated! #Vaccinated,2023-11-29,Hyderabad,28,189
Vaccines are important for public health #VaccineForAll,2022-04-22,Hyderabad,56,15
Vaccines are a conspiracy #AntiVax,2022-01-12,Delhi,29,152
Proud to be vaccinated! #Vaccinated,2021-12-06,Kolkata,64,176
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-01-11,Hyderabad,67,145
Government should make vaccines mandatory #PublicHealth,2022-03-08,Mumbai,52,72
Vaccines are important for public health #VaccineForAll,2023-08-22,Chennai,58,36
Government should make vaccines mandatory #PublicHealth,2023-07-28,Chennai,69,38
Vaccines are a conspiracy #AntiVax,2021-01-11,Hyderabad,76,152
Proud to be vaccinated! #Vaccinated,2022-07-18,Chennai,58,71
Traditional medicine is better than vaccines #AlternativeMedicine,2023-06-04,Bangalore,73,106
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-04-05,Delhi,40,2
Vaccines are a conspiracy #AntiVax,2021-02-23,Pune,86,176
Children need all recommended vaccines #ChildHealth,2023-11-10,Delhi,60,122
Vaccine misinformation is dangerous #FactCheck,2022-02-23,Delhi,81,61
Vaccines are important for public health #VaccineForAll,2021-08-04,Bangalore,31,12
Vaccines are a conspiracy #AntiVax,2023-06-12,Pune,88,72
Traditional medicine is better than vaccines #AlternativeMedicine,2023-08-10,Bangalore,91,28
Children need all recommended vaccines #ChildHealth,2023-07-10,Delhi,75,169
Children need all recommended vaccines #ChildHealth,2021-02-09,Mumbai,4,138
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-09-11,Chennai,78,37
Vaccines are a conspiracy #AntiVax,2023-07-03,Hyderabad,36,59
Government should make vaccines mandatory #PublicHealth,2023-08-31,Mumbai,39,44
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-11-29,Bangalore,55,39
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-02-09,Bangalore,76,32
Worried about vaccine side effects #VaccineSafety,2021-08-04,Bangalore,79,167
Vaccines are important for public health #VaccineForAll,2022-07-25,Bangalore,47,168
Children need all recommended vaccines #ChildHealth,2021-12-22,Pune,26,165
Proud to be vaccinated! #Vaccinated,2021-05-13,Bangalore,44,57
Children need all recommended vaccines #ChildHealth,2023-11-21,Pune,41,137
Government should make vaccines mandatory #PublicHealth,2021-03-23,Chennai,1,76
Proud to be vaccinated! #Vaccinated,2023-12-06,Bangalore,16,103
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-12-01,Ahmedabad,87,108
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-10-05,Hyderabad,82,157
Proud to be vaccinated! #Vaccinated,2022-08-09,Mumbai,95,62
Government should make vaccines mandatory #PublicHealth,2023-09-16,Hyderabad,67,147
Traditional medicine is better than vaccines #AlternativeMedicine,2023-01-01,Ahmedabad,16,11
Worried about vaccine side effects #VaccineSafety,2022-02-05,Delhi,64,21
Vaccine misinformation is dangerous #FactCheck,2021-07-29,Delhi,13,191
Traditional medicine is better than vaccines #AlternativeMedicine,2023-02-02,Bangalore,51,124
Proud to be vaccinated! #Vaccinated,2021-01-29,Bangalore,32,133
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-04-04,Delhi,86,25
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-01-08,Kolkata,3,98
Children need all recommended vaccines #ChildHealth,2021-02-08,Pune,28,156
Traditional medicine is better than vaccines #AlternativeMedicine,2023-09-01,Chennai,21,26
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-04-29,Hyderabad,55,91
Government should make vaccines mandatory #PublicHealth,2021-10-30,Ahmedabad,58,83
Worried about vaccine side effects #VaccineSafety,2022-07-24,Chennai,37,14
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-10-06,Mumbai,23,11
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-05-07,Ahmedabad,26,71
Children need all recommended vaccines #ChildHealth,2022-06-04,Pune,26,173
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-07-18,Bangalore,92,191
Government should make vaccines mandatory #PublicHealth,2022-01-13,Bangalore,19,45
Children need all recommended vaccines #ChildHealth,2023-01-04,Hyderabad,70,16
Traditional medicine is better than vaccines #AlternativeMedicine,2022-06-05,Hyderabad,47,187
Worried about vaccine side effects #VaccineSafety,2023-10-11,Kolkata,1,87
Vaccines are a conspiracy #AntiVax,2022-01-30,Ahmedabad,76,71
Government should make vaccines mandatory #PublicHealth,2021-10-01,Hyderabad,63,81
Worried about vaccine side effects #VaccineSafety,2021-01-11,Kolkata,88,32
Worried about vaccine side effects #VaccineSafety,2023-02-18,Hyderabad,50,87
Children need all recommended vaccines #ChildHealth,2022-02-05,Chennai,45,159
Worried about vaccine side effects #VaccineSafety,2021-04-02,Chennai,32,167
